,precision,recall,f1-score,support
Abra,1.0,1.0,1.0,7.0
Aerodactyl,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
Alakazam,0.4,0.3333333333333333,0.36363636363636365,6.0
Alolan Sandslash,0.9,1.0,0.9473684210526315,9.0
Arbok,1.0,1.0,1.0,9.0
Arcanine,1.0,1.0,1.0,9.0
Articuno,1.0,1.0,1.0,9.0
Beedrill,1.0,1.0,1.0,7.0
Bellsprout,1.0,1.0,1.0,8.0
Blastoise,1.0,1.0,1.0,9.0
Bulbasaur,1.0,1.0,1.0,9.0
Butterfree,1.0,1.0,1.0,6.0
Caterpie,1.0,1.0,1.0,8.0
Chansey,1.0,1.0,1.0,9.0
Charizard,0.875,1.0,0.9333333333333333,7.0
Charmander,1.0,0.9090909090909091,0.9523809523809523,11.0
Charmeleon,1.0,1.0,1.0,10.0
Clefable,1.0,1.0,1.0,8.0
Clefairy,1.0,1.0,1.0,10.0
Cloyster,1.0,1.0,1.0,10.0
Cubone,1.0,0.875,0.9333333333333333,8.0
Dewgong,0.9,1.0,0.9473684210526315,9.0
Diglett,1.0,1.0,1.0,8.0
Ditto,0.8888888888888888,1.0,0.9411764705882353,8.0
Dodrio,0.875,0.875,0.875,8.0
Doduo,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
Dragonair,1.0,1.0,1.0,9.0
Dragonite,1.0,1.0,1.0,10.0
Dratini,1.0,1.0,1.0,6.0
Drowzee,1.0,1.0,1.0,8.0
Dugtrio,1.0,1.0,1.0,11.0
Eevee,1.0,1.0,1.0,8.0
Ekans,1.0,1.0,1.0,7.0
Electabuzz,1.0,1.0,1.0,9.0
Electrode,1.0,1.0,1.0,11.0
Exeggcute,1.0,0.9,0.9473684210526315,10.0
Exeggutor,1.0,1.0,1.0,10.0
Farfetchd,0.9,0.9,0.9,10.0
Fearow,1.0,1.0,1.0,10.0
Flareon,1.0,0.8888888888888888,0.9411764705882353,9.0
Gastly,0.9,1.0,0.9473684210526315,9.0
Gengar,1.0,1.0,1.0,10.0
Geodude,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0
Gloom,1.0,1.0,1.0,10.0
Golbat,0.7692307692307693,1.0,0.8695652173913043,10.0
Goldeen,0.9090909090909091,1.0,0.9523809523809523,10.0
Golduck,1.0,0.8,0.8888888888888888,10.0
Golem,1.0,1.0,1.0,10.0
Graveler,1.0,1.0,1.0,8.0
Grimer,0.8571428571428571,0.6666666666666666,0.75,9.0
Growlithe,1.0,0.8888888888888888,0.9411764705882353,9.0
Gyarados,0.8181818181818182,0.9,0.8571428571428571,10.0
Haunter,0.9090909090909091,1.0,0.9523809523809523,10.0
Hitmonchan,0.9,0.9,0.9,10.0
Hitmonlee,1.0,1.0,1.0,10.0
Horsea,0.9166666666666666,1.0,0.9565217391304348,11.0
Hypno,1.0,1.0,1.0,10.0
Ivysaur,0.8888888888888888,1.0,0.9411764705882353,8.0
Jigglypuff,0.9090909090909091,1.0,0.9523809523809523,10.0
Jolteon,0.8461538461538461,1.0,0.9166666666666666,11.0
Jynx,1.0,1.0,1.0,10.0
Kabuto,1.0,1.0,1.0,10.0
Kabutops,1.0,1.0,1.0,9.0
Kadabra,0.6363636363636364,0.7,0.6666666666666666,10.0
Kakuna,1.0,1.0,1.0,10.0
Kangaskhan,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
Kingler,0.7777777777777778,0.7,0.7368421052631579,10.0
Koffing,1.0,1.0,1.0,10.0
Krabby,0.7272727272727273,0.8,0.7619047619047619,10.0
Lapras,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Lickitung,1.0,1.0,1.0,10.0
Machamp,1.0,1.0,1.0,11.0
Machoke,1.0,1.0,1.0,9.0
Machop,1.0,1.0,1.0,9.0
Magikarp,1.0,1.0,1.0,9.0
Magmar,1.0,1.0,1.0,9.0
Magnemite,1.0,0.8,0.8888888888888888,10.0
Magneton,1.0,1.0,1.0,9.0
Mankey,1.0,1.0,1.0,11.0
Marowak,0.8571428571428571,1.0,0.9230769230769231,6.0
Meowth,1.0,1.0,1.0,6.0
Metapod,1.0,1.0,1.0,11.0
Mew,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Mewtwo,1.0,1.0,1.0,11.0
Moltres,1.0,1.0,1.0,9.0
MrMime,1.0,1.0,1.0,9.0
Muk,0.6,0.6666666666666666,0.631578947368421,9.0
Nidoking,1.0,1.0,1.0,11.0
Nidoqueen,1.0,1.0,1.0,11.0
Nidorina,1.0,0.8888888888888888,0.9411764705882353,9.0
Nidorino,1.0,1.0,1.0,11.0
Ninetales,1.0,0.8888888888888888,0.9411764705882353,9.0
Oddish,1.0,1.0,1.0,11.0
Omanyte,1.0,1.0,1.0,9.0
Omastar,0.9,1.0,0.9473684210526315,9.0
Onix,1.0,0.8888888888888888,0.9411764705882353,9.0
Paras,0.9090909090909091,1.0,0.9523809523809523,10.0
Parasect,1.0,1.0,1.0,9.0
Persian,0.875,0.875,0.875,8.0
Pidgeot,0.875,0.7777777777777778,0.8235294117647058,9.0
Pidgeotto,0.6153846153846154,1.0,0.7619047619047619,8.0
Pidgey,1.0,0.5,0.6666666666666666,10.0
Pikachu,0.9285714285714286,1.0,0.9629629629629629,13.0
Pinsir,1.0,1.0,1.0,9.0
Poliwag,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Poliwhirl,0.9,0.9,0.9,10.0
Poliwrath,1.0,1.0,1.0,7.0
Ponyta,0.875,0.7777777777777778,0.8235294117647058,9.0
Porygon,1.0,1.0,1.0,10.0
Primeape,1.0,1.0,1.0,11.0
Psyduck,1.0,1.0,1.0,8.0
Raichu,1.0,1.0,1.0,11.0
Rapidash,0.8333333333333334,1.0,0.9090909090909091,10.0
Raticate,1.0,1.0,1.0,9.0
Rattata,1.0,0.8888888888888888,0.9411764705882353,9.0
Rhydon,1.0,0.9,0.9473684210526315,10.0
Rhyhorn,1.0,1.0,1.0,9.0
Sandshrew,1.0,1.0,1.0,10.0
Sandslash,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
Scyther,1.0,1.0,1.0,12.0
Seadra,0.8888888888888888,0.8,0.8421052631578947,10.0
Seaking,1.0,1.0,1.0,10.0
Seel,0.8181818181818182,0.9,0.8571428571428571,10.0
Shellder,1.0,0.9,0.9473684210526315,10.0
Slowbro,0.8888888888888888,0.8,0.8421052631578947,10.0
Slowpoke,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
Snorlax,1.0,0.8333333333333334,0.9090909090909091,12.0
Spearow,1.0,1.0,1.0,11.0
Squirtle,1.0,1.0,1.0,11.0
Starmie,1.0,1.0,1.0,10.0
Staryu,1.0,1.0,1.0,10.0
Tangela,1.0,1.0,1.0,11.0
Tauros,1.0,0.9090909090909091,0.9523809523809523,11.0
Tentacool,0.8181818181818182,1.0,0.9,9.0
Tentacruel,1.0,0.8,0.8888888888888888,10.0
Vaporeon,1.0,0.9166666666666666,0.9565217391304348,12.0
Venomoth,1.0,1.0,1.0,11.0
Venonat,1.0,0.9,0.9473684210526315,10.0
Venusaur,0.9333333333333333,1.0,0.9655172413793104,14.0
Victreebel,1.0,1.0,1.0,10.0
Vileplume,1.0,1.0,1.0,12.0
Voltorb,1.0,1.0,1.0,11.0
Vulpix,0.8181818181818182,0.9,0.8571428571428571,10.0
Wartortle,1.0,1.0,1.0,10.0
Weedle,1.0,1.0,1.0,10.0
Weepinbell,1.0,1.0,1.0,9.0
Weezing,0.9090909090909091,1.0,0.9523809523809523,10.0
Wigglytuff,1.0,0.9166666666666666,0.9565217391304348,12.0
Zapdos,1.0,1.0,1.0,11.0
Zubat,1.0,0.875,0.9333333333333333,8.0
accuracy,0.948951048951049,0.948951048951049,0.948951048951049,0.948951048951049
macro avg,0.9500937765937766,0.9472207792207792,0.9464154257280559,1430.0
weighted avg,0.9526954028877106,0.948951048951049,0.9485984540195368,1430.0
