,precision,recall,f1-score,support
Abra,0.0,0.0,0.0,7.0
Aerodactyl,0.0,0.0,0.0,7.0
Alakazam,0.5,0.16666666666666666,0.25,6.0
Alolan Sandslash,1.0,0.2222222222222222,0.36363636363636365,9.0
Arbok,0.4375,0.7777777777777778,0.56,9.0
Arcanine,1.0,0.2222222222222222,0.36363636363636365,9.0
Articuno,1.0,0.5555555555555556,0.7142857142857143,9.0
Beedrill,1.0,0.7142857142857143,0.8333333333333334,7.0
Bellsprout,1.0,0.25,0.4,8.0
Blastoise,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
Bulbasaur,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
Butterfree,1.0,0.3333333333333333,0.5,6.0
Caterpie,0.75,0.375,0.5,8.0
Chansey,1.0,0.6666666666666666,0.8,9.0
Charizard,1.0,0.2857142857142857,0.4444444444444444,7.0
Charmander,0.32142857142857145,0.8181818181818182,0.46153846153846156,11.0
Charmeleon,0.5,0.3,0.375,10.0
Clefable,1.0,0.125,0.2222222222222222,8.0
Clefairy,0.7777777777777778,0.7,0.7368421052631579,10.0
Cloyster,1.0,0.6,0.75,10.0
Cubone,1.0,0.375,0.5454545454545454,8.0
Dewgong,1.0,0.3333333333333333,0.5,9.0
Diglett,0.42857142857142855,0.375,0.4,8.0
Ditto,1.0,1.0,1.0,8.0
Dodrio,1.0,0.5,0.6666666666666666,8.0
Doduo,1.0,0.14285714285714285,0.25,7.0
Dragonair,0.8,0.8888888888888888,0.8421052631578947,9.0
Dragonite,1.0,0.6,0.75,10.0
Dratini,0.0,0.0,0.0,6.0
Drowzee,0.6,0.375,0.46153846153846156,8.0
Dugtrio,0.5333333333333333,0.7272727272727273,0.6153846153846154,11.0
Eevee,1.0,0.125,0.2222222222222222,8.0
Ekans,1.0,0.42857142857142855,0.6,7.0
Electabuzz,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
Electrode,0.5625,0.8181818181818182,0.6666666666666666,11.0
Exeggcute,1.0,0.5,0.6666666666666666,10.0
Exeggutor,0.9,0.9,0.9,10.0
Farfetchd,0.6666666666666666,0.6,0.631578947368421,10.0
Fearow,0.375,0.6,0.46153846153846156,10.0
Flareon,0.6,0.3333333333333333,0.42857142857142855,9.0
Gastly,1.0,0.3333333333333333,0.5,9.0
Gengar,0.7142857142857143,0.5,0.5882352941176471,10.0
Geodude,0.0,0.0,0.0,7.0
Gloom,0.7777777777777778,0.7,0.7368421052631579,10.0
Golbat,0.6153846153846154,0.8,0.6956521739130435,10.0
Goldeen,0.8,0.4,0.5333333333333333,10.0
Golduck,0.4,0.4,0.4,10.0
Golem,0.625,0.5,0.5555555555555556,10.0
Graveler,0.6,0.375,0.46153846153846156,8.0
Grimer,0.7142857142857143,0.5555555555555556,0.625,9.0
Growlithe,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
Gyarados,0.3333333333333333,0.1,0.15384615384615385,10.0
Haunter,1.0,0.2,0.3333333333333333,10.0
Hitmonchan,0.625,0.5,0.5555555555555556,10.0
Hitmonlee,0.7,0.7,0.7,10.0
Horsea,0.34782608695652173,0.7272727272727273,0.47058823529411764,11.0
Hypno,1.0,0.1,0.18181818181818182,10.0
Ivysaur,0.0,0.0,0.0,8.0
Jigglypuff,0.5625,0.9,0.6923076923076923,10.0
Jolteon,0.75,0.2727272727272727,0.4,11.0
Jynx,0.8571428571428571,0.6,0.7058823529411765,10.0
Kabuto,0.5,0.4,0.4444444444444444,10.0
Kabutops,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
Kadabra,0.25,0.4,0.3076923076923077,10.0
Kakuna,0.8888888888888888,0.8,0.8421052631578947,10.0
