,precision,recall,f1-score,support
Abra,0.0,0.0,0.0,7.0
Aerodactyl,1.0,0.14285714285714285,0.25,7.0
Alakazam,0.0,0.0,0.0,6.0
Alolan Sandslash,0.4,0.2222222222222222,0.2857142857142857,9.0
Arbok,0.0,0.0,0.0,9.0
Arcanine,0.3333333333333333,0.1111111111111111,0.16666666666666666,9.0
Articuno,0.20833333333333334,0.5555555555555556,0.30303030303030304,9.0
Beedrill,0.5,0.8571428571428571,0.631578947368421,7.0
Bellsprout,1.0,0.375,0.5454545454545454,8.0
Blastoise,0.5,0.3333333333333333,0.4,9.0
Bulbasaur,0.7272727272727273,0.8888888888888888,0.8,9.0
Butterfree,0.625,0.8333333333333334,0.7142857142857143,6.0
Caterpie,0.6363636363636364,0.875,0.7368421052631579,8.0
Chansey,0.5,0.8888888888888888,0.64,9.0
Charizard,0.5384615384615384,1.0,0.7,7.0
Charmander,0.42857142857142855,0.5454545454545454,0.48,11.0
Charmeleon,0.5,0.8,0.6153846153846154,10.0
Clefable,0.14285714285714285,0.125,0.13333333333333333,8.0
Clefairy,0.3888888888888889,0.7,0.5,10.0
Cloyster,0.5384615384615384,0.7,0.6086956521739131,10.0
Cubone,0.5454545454545454,0.75,0.631578947368421,8.0
Dewgong,0.3333333333333333,0.1111111111111111,0.16666666666666666,9.0
Diglett,0.42857142857142855,0.375,0.4,8.0
Ditto,0.5384615384615384,0.875,0.6666666666666666,8.0
Dodrio,0.2857142857142857,0.25,0.26666666666666666,8.0
Doduo,0.375,0.42857142857142855,0.4,7.0
Dragonair,0.3333333333333333,0.4444444444444444,0.38095238095238093,9.0
Dragonite,0.16666666666666666,0.2,0.18181818181818182,10.0
Dratini,0.0,0.0,0.0,6.0
Drowzee,0.625,0.625,0.625,8.0
Dugtrio,0.35,0.6363636363636364,0.45161290322580644,11.0
Eevee,0.5,0.25,0.3333333333333333,8.0
Ekans,0.3333333333333333,0.14285714285714285,0.2,7.0
Electabuzz,0.2857142857142857,0.2222222222222222,0.25,9.0
Electrode,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
Exeggcute,1.0,0.1,0.18181818181818182,10.0
Exeggutor,0.6,0.6,0.6,10.0
Farfetchd,0.5,0.1,0.16666666666666666,10.0
Fearow,0.0,0.0,0.0,10.0
Flareon,0.5,0.6666666666666666,0.5714285714285714,9.0
Gastly,0.4444444444444444,0.4444444444444444,0.4444444444444444,9.0
Gengar,0.35714285714285715,0.5,0.4166666666666667,10.0
Geodude,0.3333333333333333,0.2857142857142857,0.3076923076923077,7.0
Gloom,0.7,0.7,0.7,10.0
Golbat,0.5,0.9,0.6428571428571429,10.0
Goldeen,0.25,0.3,0.2727272727272727,10.0
Golduck,1.0,0.1,0.18181818181818182,10.0
Golem,0.5333333333333333,0.8,0.64,10.0
Graveler,0.4444444444444444,0.5,0.47058823529411764,8.0
Grimer,0.45454545454545453,0.5555555555555556,0.5,9.0
Growlithe,0.4,0.4444444444444444,0.42105263157894735,9.0
Gyarados,0.8,0.4,0.5333333333333333,10.0
Haunter,0.25,0.1,0.14285714285714285,10.0
Hitmonchan,0.6,0.3,0.4,10.0
Hitmonlee,0.5,0.4,0.4444444444444444,10.0
Horsea,0.35714285714285715,0.45454545454545453,0.4,11.0
Hypno,0.4444444444444444,0.4,0.42105263157894735,10.0
Ivysaur,0.7272727272727273,1.0,0.8421052631578947,8.0
Jigglypuff,0.5,0.6,0.5454545454545454,10.0
Jolteon,0.5,0.36363636363636365,0.42105263157894735,11.0
Jynx,0.75,0.9,0.8181818181818182,10.0
Kabuto,0.7,0.7,0.7,10.0
Kabutops,0.4,0.4444444444444444,0.42105263157894735,9.0
Kadabra,0.21052631578947367,0.4,0.27586206896551724,10.0
Kakuna,0.5454545454545454,0.6,0.5714285714285714,10.0
Kangaskhan,0.4,0.36363636363636365,0.38095238095238093,11.0
Kingler,0.5714285714285714,0.4,0.47058823529411764,10.0
Koffing,0.2857142857142857,0.2,0.23529411764705882,10.0
Krabby,0.4,0.2,0.26666666666666666,10.0
Lapras,0.7142857142857143,0.45454545454545453,0.5555555555555556,11.0
Lickitung,0.5,0.4,0.4444444444444444,10.0
Machamp,0.3333333333333333,0.36363636363636365,0.34782608695652173,11.0
Machoke,0.0,0.0,0.0,9.0
Machop,0.5,0.2222222222222222,0.3076923076923077,9.0
Magikarp,0.5714285714285714,0.4444444444444444,0.5,9.0
Magmar,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0
Magnemite,0.6666666666666666,0.2,0.3076923076923077,10.0
Magneton,0.4166666666666667,0.5555555555555556,0.47619047619047616,9.0
Mankey,0.4444444444444444,0.36363636363636365,0.4,11.0
Marowak,0.0,0.0,0.0,6.0
Meowth,0.4,0.3333333333333333,0.36363636363636365,6.0
Metapod,0.5625,0.8181818181818182,0.6666666666666666,11.0
Mew,0.4,0.5454545454545454,0.46153846153846156,11.0
Mewtwo,0.3333333333333333,0.2727272727272727,0.3,11.0
Moltres,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.0
MrMime,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0
Muk,0.25,0.2222222222222222,0.23529411764705882,9.0
Nidoking,0.4,0.7272727272727273,0.5161290322580645,11.0
Nidoqueen,0.14285714285714285,0.09090909090909091,0.1111111111111111,11.0
Nidorina,0.5,0.1111111111111111,0.18181818181818182,9.0
Nidorino,0.5,0.36363636363636365,0.42105263157894735,11.0
Ninetales,0.375,0.3333333333333333,0.35294117647058826,9.0
Oddish,0.7857142857142857,1.0,0.88,11.0
Omanyte,0.6153846153846154,0.8888888888888888,0.7272727272727273,9.0
Omastar,0.0,0.0,0.0,9.0
Onix,0.4444444444444444,0.4444444444444444,0.4444444444444444,9.0
Paras,0.6666666666666666,0.2,0.3076923076923077,10.0
Parasect,0.2727272727272727,0.3333333333333333,0.3,9.0
Persian,0.3333333333333333,0.125,0.18181818181818182,8.0
Pidgeot,0.2857142857142857,0.2222222222222222,0.25,9.0
Pidgeotto,0.4,0.25,0.3076923076923077,8.0
Pidgey,0.25,0.2,0.2222222222222222,10.0
Pikachu,0.5555555555555556,0.7692307692307693,0.6451612903225806,13.0
Pinsir,0.5454545454545454,0.6666666666666666,0.6,9.0
Poliwag,0.42857142857142855,0.2727272727272727,0.3333333333333333,11.0
Poliwhirl,0.4375,0.7,0.5384615384615384,10.0
Poliwrath,0.0,0.0,0.0,7.0
Ponyta,0.2,0.1111111111111111,0.14285714285714285,9.0
Porygon,0.6666666666666666,0.8,0.7272727272727273,10.0
Primeape,0.36363636363636365,0.36363636363636365,0.36363636363636365,11.0
Psyduck,0.4444444444444444,0.5,0.47058823529411764,8.0
Raichu,0.5,0.18181818181818182,0.26666666666666666,11.0
Rapidash,0.23809523809523808,0.5,0.3225806451612903,10.0
Raticate,0.4,0.2222222222222222,0.2857142857142857,9.0
Rattata,0.16666666666666666,0.1111111111111111,0.13333333333333333,9.0
Rhydon,0.45454545454545453,0.5,0.47619047619047616,10.0
Rhyhorn,0.5833333333333334,0.7777777777777778,0.6666666666666666,9.0
Sandshrew,0.18181818181818182,0.2,0.19047619047619047,10.0
Sandslash,0.2222222222222222,0.2222222222222222,0.2222222222222222,9.0
Scyther,0.8,0.6666666666666666,0.7272727272727273,12.0
Seadra,0.5,0.1,0.16666666666666666,10.0
Seaking,0.3,0.3,0.3,10.0
Seel,0.36363636363636365,0.4,0.38095238095238093,10.0
Shellder,0.875,0.7,0.7777777777777778,10.0
Slowbro,0.8,0.4,0.5333333333333333,10.0
Slowpoke,0.2,0.2222222222222222,0.21052631578947367,9.0
Snorlax,0.42105263157894735,0.6666666666666666,0.5161290322580645,12.0
Spearow,0.4117647058823529,0.6363636363636364,0.5,11.0
Squirtle,0.625,0.9090909090909091,0.7407407407407407,11.0
Starmie,0.6428571428571429,0.9,0.75,10.0
Staryu,0.5454545454545454,0.6,0.5714285714285714,10.0
Tangela,0.5714285714285714,0.7272727272727273,0.64,11.0
Tauros,0.6666666666666666,0.5454545454545454,0.6,11.0
Tentacool,0.6923076923076923,1.0,0.8181818181818182,9.0
Tentacruel,0.5833333333333334,0.7,0.6363636363636364,10.0
Vaporeon,0.4166666666666667,0.8333333333333334,0.5555555555555556,12.0
Venomoth,0.625,0.45454545454545453,0.5263157894736842,11.0
Venonat,0.6428571428571429,0.9,0.75,10.0
Venusaur,0.8461538461538461,0.7857142857142857,0.8148148148148148,14.0
Victreebel,0.7777777777777778,0.7,0.7368421052631579,10.0
Vileplume,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
Voltorb,0.4,0.9090909090909091,0.5555555555555556,11.0
Vulpix,0.4,0.6,0.48,10.0
Wartortle,0.6,0.6,0.6,10.0
Weedle,0.6,0.3,0.4,10.0
Weepinbell,1.0,0.8888888888888888,0.9411764705882353,9.0
Weezing,0.2222222222222222,0.4,0.2857142857142857,10.0
Wigglytuff,0.5454545454545454,0.5,0.5217391304347826,12.0
Zapdos,0.3333333333333333,0.45454545454545453,0.38461538461538464,11.0
Zubat,0.625,0.625,0.625,8.0
accuracy,0.47482517482517483,0.47482517482517483,0.47482517482517483,0.47482517482517483
macro avg,0.46564443554381635,0.46470684870684864,0.43763685494444027,1430.0
weighted avg,0.47380372011612676,0.47482517482517483,0.446898718155426,1430.0
